datetime,temp
2020-04-05,17.9
2020-04-06,18.9
2020-04-07,19.2
2020-04-08,19.5
2020-04-09,19.5
2020-04-10,18.6
2020-04-11,17.6
2020-04-12,17.1
2020-04-13,16.7
2020-04-14,16.5
2020-04-15,17.9
2020-04-16,18.1
2020-04-17,17.7
2020-04-18,17.2
2020-04-19,16.8
2020-04-20,16.9
2020-04-21,16.2
2020-04-22,17
2020-04-23,17.6
2020-04-24,17
2020-04-25,16.1
2020-04-26,16.5
2020-04-27,17.6
2020-04-28,18.1
2020-04-29,17.8
2020-04-30,18.1
2020-05-01,19.2
2020-05-02,24.1
2020-05-03,27.3
2020-05-04,21.2
2020-05-05,20
2020-05-06,18.8
2020-05-07,19.4
2020-05-08,18.9
2020-05-09,18.2
2020-05-10,18.4
2020-05-11,18.5
2020-05-12,18
2020-05-13,17.8
2020-05-14,16.6
2020-05-15,16.8
2020-05-16,17.5
2020-05-17,19.4
2020-05-18,22.8
2020-05-19,25.7
2020-05-20,21.8
2020-05-21,21.6
2020-05-22,24
2020-05-23,27.5
2020-05-24,27.9
2020-05-25,29.1
2020-05-26,28.5
2020-05-27,23.7
2020-05-28,21.6
2020-05-29,20.1
2020-05-30,20.4
2020-05-31,20.6
2020-06-01,21.7
2020-06-02,22.1
2020-06-03,22.1
2020-06-04,22.1
2020-06-05,23.3
2020-06-06,24.7
2020-06-07,21.6
2020-06-08,21.1
2020-06-09,20.7
2020-06-10,19.8
2020-06-11,20.2
2020-06-12,19.5
2020-06-13,20.3
2020-06-14,21.4
2020-06-15,23.1
2020-06-16,23.4
2020-06-17,22.9
2020-06-18,20.9
2020-06-19,21.2
2020-06-20,20.6
2020-06-21,21.4
2020-06-22,20.4
2020-06-23,21.5
2020-06-24,21.6
2020-06-25,21.2
2020-06-26,20.7
2020-06-27,21
2020-06-28,20.6
2020-06-29,20.8
2020-06-30,22.2
2020-07-01,24.3
2020-07-02,24.8
2020-07-03,24
2020-07-04,22.9
2020-07-05,28.4
2020-07-06,36.6
2020-07-07,33.7
2020-07-08,28.5
2020-07-09,24.3
2020-07-10,23.1
2020-07-11,23.9
2020-07-12,24.3
2020-07-13,23.5
2020-07-14,22.4
2020-07-15,24.3
2020-07-16,25.2
2020-07-17,26.5
2020-07-18,27.7
2020-07-19,28.7
2020-07-20,24.7
2020-07-21,24.1
2020-07-22,24.7
2020-07-23,25.4
2020-07-24,24
2020-07-25,22.9
2020-07-26,23.1
2020-07-27,25.7
2020-07-28,25.6
2020-07-29,23.8
2020-07-30,24.4
2020-07-31,23.7
2020-08-01,25.4
2020-08-02,27.4
2020-08-03,26.6
2020-08-04,24.2
2020-08-05,21.8
2020-08-06,21.8
2020-08-07,22.9
2020-08-08,23
2020-08-09,23.6
2020-08-10,23.2
2020-08-11,22.9
2020-08-12,22.7
2020-08-13,23.7
2020-08-14,22.2
2020-08-15,22.9
2020-08-16,24.1
2020-08-17,22.3
2020-08-18,22.3
2020-08-19,21
2020-08-20,23.5
2020-08-21,26.8
2020-08-22,29.3
2020-08-23,30
2020-08-24,31.6
2020-08-25,35.8
2020-08-26,36.4
2020-08-27,35.6
2020-08-28,29.8
2020-08-29,21.6
2020-08-30,21.3
2020-08-31,24.6
2020-09-01,27.7
2020-09-02,25.8
2020-09-03,22.2
2020-09-04,22.4
2020-09-05,23.1
2020-09-06,26
2020-09-07,28.2
2020-09-08,28.7
2020-09-09,26.8
2020-09-10,23
2020-09-11,22
2020-09-12,22.7
2020-09-13,23.7
2020-09-14,25.9
2020-09-15,24.9
2020-09-16,27.5
2020-09-17,29.6
2020-09-18,24.4
2020-09-19,23.6
2020-09-20,24.1
2020-09-21,24.7
2020-09-22,23.4
2020-09-23,24.8
2020-09-24,26.4
2020-09-25,28
2020-09-26,23.3
2020-09-27,20.4
2020-09-28,20.9
2020-09-29,20.8
2020-09-30,19.8
2020-10-01,20
2020-10-02,19.2
2020-10-03,20
2020-10-04,17.8
2020-10-05,19.3
2020-10-06,19.9
2020-10-07,22.1
2020-10-08,22.8
2020-10-09,21.2
2020-10-10,24.1
2020-10-11,26.9
2020-10-12,27.2
2020-10-13,23.9
2020-10-14,19.9
2020-10-15,19
2020-10-16,17.5
2020-10-17,17.3
2020-10-18,18.2
2020-10-19,22.3
2020-10-20,24.5
2020-10-21,21.1
2020-10-22,18.9
2020-10-23,18.6
2020-10-24,18.8
2020-10-25,18.5
2020-10-26,17.2
2020-10-27,18
2020-10-28,17.6
2020-10-29,23
2020-10-30,25.8
2020-10-31,23.6
2020-11-01,22.5
2020-11-02,21.1
2020-11-03,21.6
2020-11-04,17.2
2020-11-05,19.2
2020-11-06,20.7
2020-11-07,19.5
2020-11-08,18.7
2020-11-09,17.2
2020-11-10,17.7
2020-11-11,19.8
2020-11-12,22.2
2020-11-13,21.7
2020-11-14,24.7
2020-11-15,24.7
2020-11-16,25.3
