name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"29.2275;-9.46785",2020-04-05,26.1,11.8,17.9,26.1,11.8,17.9,12.2,72.7,0,0,0,,,,18.4,33.5,264.2,1017.7,18.8,9.7,274.9,23.7,9,,2020-04-05T07:22:28,2020-04-05T19:58:49,0.45,Clear,Clear conditions throughout the day.,clear-day,"60060099999,60270099999,remote,60280099999"
"29.2275;-9.46785",2020-04-06,28.1,13.7,18.9,27.7,13.7,18.9,13.4,73.6,0,0,0,,,,27.7,31.7,256.2,1020,28.3,8.9,307.1,26.6,10,,2020-04-06T07:21:20,2020-04-06T19:59:23,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60060099999,60270099999,remote,60280099999"
"29.2275;-9.46785",2020-04-07,29.1,13.6,19.2,28.1,13.6,19.1,13.2,71.7,0,0,0,,,,18.4,33.5,248.3,1019.1,14.1,8.8,295.1,25.6,9,,2020-04-07T07:20:12,2020-04-07T19:59:58,0.5,Clear,Clear conditions throughout the day.,clear-day,"60060099999,60270099999,remote,60280099999"
"29.2275;-9.46785",2020-04-08,28.1,15.1,19.5,27.9,15.1,19.4,14,73.5,0,0,0,,,,24.1,35.3,261.1,1017.8,36.6,7.4,303.9,26.2,10,,2020-04-08T07:19:04,2020-04-08T20:00:33,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60060099999,60270099999,remote,60280099999"
"29.2275;-9.46785",2020-04-09,29.1,15.1,19.5,28,15.1,19.4,12.7,69.5,0,0,0,,,,24.1,37.1,295.4,1018.4,46.9,7.8,312.8,27.2,10,,2020-04-09T07:17:56,2020-04-09T20:01:08,0.52,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"60060099999,60270099999,remote,60280099999"
"29.2275;-9.46785",2020-04-10,24.1,14.9,18.6,24.1,14.9,18.6,13.4,74.2,0,0,0,,,,22.3,40.7,301.8,1017.1,33.6,7.4,305.4,26.3,10,,2020-04-10T07:16:49,2020-04-10T20:01:43,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60060099999,60270099999,remote,60280099999"
"29.2275;-9.46785",2020-04-11,22.1,14.9,17.6,22.1,14.9,17.6,13.5,78.3,0,0,0,,,,25.9,33.5,302.4,1015.8,57.3,6.3,292.6,25.3,10,,2020-04-11T07:15:43,2020-04-11T20:02:18,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60060099999,60270099999,remote,60280099999"
"29.2275;-9.46785",2020-04-12,21.1,14.2,17.1,21.1,14.2,17.1,11.9,73.6,0.1,100,4.17,rain,,,24.1,33.5,300.8,1015.4,55.4,8.2,317.3,27.6,10,,2020-04-12T07:14:37,2020-04-12T20:02:53,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"60060099999,60270099999,remote,60280099999"
"29.2275;-9.46785",2020-04-13,20.1,13.1,16.7,20.1,13.1,16.7,10.8,70.2,0,0,0,,,,22.3,29.5,302.5,1013.9,62.1,10,269.6,23.3,8,,2020-04-13T07:13:31,2020-04-13T20:03:29,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60060099999,60270099999,remote,60280099999"
"29.2275;-9.46785",2020-04-14,21.1,11.8,16.5,21.1,11.8,16.5,10.3,70.8,0.7,100,4.17,rain,,,25.9,24.1,260.4,1013,36.8,9.5,322.8,27.9,10,,2020-04-14T07:12:26,2020-04-14T20:04:04,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-04-15,24.1,11.8,17.9,24.1,11.8,17.9,10,62.4,0,0,0,,,,20.5,24.1,184.1,1015.2,26.4,10.5,316.7,27.4,10,,2020-04-15T07:11:22,2020-04-15T20:04:39,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60060099999,60270099999,remote,60280099999"
"29.2275;-9.46785",2020-04-16,26.1,12.1,18.1,26.1,12.1,18.1,8.2,57.4,0,0,0,,,,16.6,22.3,176.7,1016.7,14.2,10.5,316,27.3,10,,2020-04-16T07:10:18,2020-04-16T20:05:15,0.83,Clear,Clear conditions throughout the day.,clear-day,"60060099999,60270099999,remote,60280099999"
"29.2275;-9.46785",2020-04-17,25.1,12.3,17.7,25.1,12.3,17.7,10.7,67.9,0,0,0,,,,24.1,25.9,251.6,1015.4,29.4,10.6,323.7,28,10,,2020-04-17T07:09:15,2020-04-17T20:05:51,0.88,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"60060099999,60270099999,remote,60280099999"
"29.2275;-9.46785",2020-04-18,23.1,12.3,17.2,23.1,12.3,17.2,10,64.4,0,0,0,,,,25.9,35.3,230.2,1013.7,21,10.9,332.6,28.6,10,,2020-04-18T07:08:13,2020-04-18T20:06:27,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60060099999,60270099999,remote,60280099999"
"29.2275;-9.46785",2020-04-19,21.1,13.9,16.8,21.1,13.9,16.8,11.7,73.7,1,100,25,rain,,,33.5,31.7,319.9,1016.6,54.7,10.3,316.3,28.5,10,,2020-04-19T06:07:11,2020-04-19T19:07:03,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"60060099999,60270099999,remote,60280099999"
"29.2275;-9.46785",2020-04-20,22.1,13.2,16.9,22.1,13.2,16.9,10.8,69.3,0,0,0,,,,31.7,33.5,309.8,1019.6,34.9,12.4,337.6,29.3,10,,2020-04-20T06:06:10,2020-04-20T19:07:39,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60060099999,60270099999,remote,60280099999"
"29.2275;-9.46785",2020-04-21,20.1,11.9,16.2,20.1,11.9,16.2,9,64.7,0,0,0,,,,55.4,37.1,310.3,1019,34,8.5,339.6,29.4,10,,2020-04-21T06:05:10,2020-04-21T19:08:15,0.99,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-04-22,24.1,11.1,17,24.1,11.1,17,9.6,65.5,0,0,0,,,,37.1,33.5,309.3,1014.8,28.5,9.5,335.2,29.1,10,,2020-04-22T06:04:10,2020-04-22T19:08:51,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60060099999,60270099999,remote,60280099999"
"29.2275;-9.46785",2020-04-23,24.1,13.5,17.6,24.1,13.5,17.6,12.6,74,0,0,0,,,,25.9,29.5,272.6,1011.3,47.3,6.2,319.6,27.5,10,,2020-04-23T06:03:11,2020-04-23T19:09:28,0,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"60060099999,60270099999,remote,60280099999"
